,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
85,167,ΜΑΝΩΛΑΚΗ ΚΥΡΙΑΚΟΥ,11,9,13,38,"ΜΑΝΩΛΑΚΗ ΚΥΡΙΑΚΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63532401094465,22.952788327069914
86,169,ΕΠΙΣΚΟΠΟΥ ΚΙΤΡΟΥΣ ΝΙΚΟΛΑΟΥ,5,3,7,26,"ΕΠΙΣΚΟΠΟΥ ΚΙΤΡΟΥΣ ΝΙΚΟΛΑΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63231504787888,22.953063430434263
87,171,ΠΑΤΡΙΑΡΧΟΥ ΙΩΑΚΕΙΜ,29,29,29,4,"ΠΑΤΡΙΑΡΧΟΥ ΙΩΑΚΕΙΜ 29, ΘΕΣΣΑΛΟΝΙΚΗ",40.63318619663196,22.951773109235525
88,172,ΦΩΤΑΚΟΥ,5,1,7,10,"ΦΩΤΑΚΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.635224233674656,22.95334073776541
89,173,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,11,9,15,14,"ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63506059048248,22.95401840833206
90,175,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΕΛΕΝΙΚΟΥ,42,40,46,8,"ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΕΛΕΝΙΚΟΥ 42, ΘΕΣΣΑΛΟΝΙΚΗ",40.63483356094724,22.95383547007897
91,177,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΕΛΕΝΙΚΟΥ,20,16,22,19,"ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΕΛΕΝΙΚΟΥ 20, ΘΕΣΣΑΛΟΝΙΚΗ",40.6335776313091,22.954553440213232
93,180,ΡΕΜΠΕΛΟΥ,5,1,7,17,"ΡΕΜΠΕΛΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63802631407331,22.94173953412885
94,181,ΓΡ. ΖΑΛΙΚΗ,6,2,10,8,"ΓΡ. ΖΑΛΙΚΗ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63844276230732,22.94246689432439
95,182,ΕΛ. ΒΕΝΙΖΕΛΟΥ,54,52,54,3,"ΕΛ. ΒΕΝΙΖΕΛΟΥ 54, ΘΕΣΣΑΛΟΝΙΚΗ",40.63764324701718,22.94256513685342
96,184,ΕΛ. ΒΕΝΙΖΕΛΟΥ,72,66,78,32,"ΕΛ. ΒΕΝΙΖΕΛΟΥ 72, ΘΕΣΣΑΛΟΝΙΚΗ",40.63896015254264,22.94360319493671
