,Slot_id,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,Λιμάνι,Δημαρχείο Θεσσαλονίκης,Λευκός Πύργος,Αγορά Καπάνι,Λαδάδικα,Πλατεία Άθωνος,Πλατεία Αριστοτέλους,Ροτόντα,Πλατεία Αγίας Σοφίας,Πλατεία Αντιγονιδών,Μουσείο Μακεδονικού Αγώνα,Πλατεία Ναυαρίνου,Πάρκο ΧΑΝΘ,Ιερός Ναός Αγίου Δημητρίου,ΔΕΘ,ΑΠΘ,Άγαλμα Ελευθερίου Βενιζέλου,Ρωμαϊκή Αγορά Θεσσαλονίκης
22,45,650,1114,984,551,715,1140,537,663,419,353,1223,428,77,758,893,724,580,771,821
23,48,613,1093,1099,674,626,1092,449,647,381,270,1119,454,200,877,771,806,598,665,700
24,49,702,1004,1129,667,566,1009,389,557,471,205,1076,368,219,899,765,869,685,625,690
25,51,607,1080,1175,751,572,1061,397,642,382,231,1051,481,278,954,693,868,627,597,622
26,52,622,1072,1143,714,586,1062,410,630,393,235,1075,455,242,921,728,848,625,621,656
27,54,652,1033,1214,774,520,1009,344,598,430,179,1004,454,309,990,661,917,680,550,588
28,56,695,989,1267,815,460,957,286,562,479,129,946,445,359,1041,616,977,735,492,542
29,58,1310,616,1887,1358,221,422,398,528,1129,580,373,741,997,1647,536,1653,1407,275,495
30,60,1345,471,1819,1274,249,313,395,399,1147,559,515,642,954,1576,663,1622,1413,374,611
31,62,765,931,1188,705,498,933,322,487,536,139,1015,323,283,954,731,943,759,568,655
32,63,679,1005,1237,788,489,979,314,573,459,148,977,440,329,1011,644,946,710,523,570
33,64,653,1065,1078,636,628,1074,450,617,420,267,1131,412,169,852,801,806,622,678,728
34,65,570,1225,916,540,811,1250,633,774,348,451,1308,533,104,702,948,622,474,854,879
35,66,535,1389,771,502,991,1426,813,940,359,631,1482,682,245,578,1100,442,358,1028,1035
36,70,499,1264,954,608,812,1276,636,814,274,458,1294,587,176,749,911,624,424,840,846
37,72,470,1349,880,584,908,1367,731,898,268,553,1387,659,224,686,994,530,349,934,931
38,74,567,1361,766,472,976,1402,798,912,383,615,1473,652,218,565,1100,459,393,1018,1034
39,75,572,1473,674,477,1096,1520,918,1026,429,735,1589,760,335,496,1204,338,350,1135,1141
40,77,545,1508,679,513,1118,1551,940,1060,416,758,1605,796,366,512,1212,314,314,1152,1150
41,78,704,1438,587,348,1121,1506,945,1000,550,761,1632,721,340,384,1277,361,479,1179,1209
42,81,719,1523,518,381,1207,1594,1030,1086,589,846,1714,807,426,337,1350,281,472,1260,1283
43,82,802,1500,470,304,1223,1584,1048,1071,662,865,1739,788,444,265,1394,335,559,1287,1325
44,87,713,1552,507,406,1230,1622,1053,1115,592,869,1736,836,451,338,1366,251,460,1282,1300
45,88,610,1517,615,462,1154,1570,976,1072,483,793,1650,801,386,445,1267,285,370,1195,1203
46,91,655,1493,589,414,1151,1554,974,1051,518,790,1654,776,375,407,1282,303,418,1199,1216
47,93,743,1433,561,312,1135,1508,960,998,588,776,1650,717,355,351,1303,373,517,1197,1234
48,94,643,1461,619,410,1116,1519,938,1018,496,754,1618,744,339,430,1249,336,417,1164,1183
49,95,1183,995,1993,1519,408,792,524,838,1056,682,282,973,1083,1766,229,1673,1348,260,244
50,96,1076,1017,1901,1440,378,832,462,811,950,604,387,917,994,1677,136,1572,1242,213,138
51,98,999,1039,1836,1385,374,868,428,800,874,555,463,883,932,1614,93,1500,1166,207,62
52,100,916,1072,1769,1331,391,916,409,800,793,512,546,856,871,1550,102,1424,1085,236,26
53,103,665,1181,1560,1166,508,1069,428,828,544,432,795,796,691,1352,323,1188,835,409,276
54,104,575,1236,1492,1121,577,1138,475,862,457,444,886,801,645,1291,410,1108,747,492,366
55,105,481,1298,1425,1080,653,1212,535,906,369,474,980,815,607,1230,501,1026,656,580,460
56,106,380,1366,1353,1041,739,1293,608,959,276,521,1081,840,578,1168,602,939,558,676,562
57,109,271,1442,1273,1001,835,1383,694,1021,180,585,1193,874,558,1099,715,843,449,782,675
58,112,1183,942,1963,1482,357,741,481,785,1047,645,277,926,1053,1734,252,1654,1339,217,251
59,113,789,1066,1616,1186,384,943,333,738,649,389,675,748,721,1399,249,1271,941,277,180
60,114,583,1172,1428,1040,531,1088,409,785,432,359,891,712,564,1221,446,1062,724,470,390
61,116,280,1414,1231,952,821,1363,674,989,144,555,1199,833,509,1054,730,808,427,778,685
62,118,142,1547,1126,924,981,1512,826,1109,90,689,1370,922,537,972,898,674,266,947,856
63,120,120,1626,1068,917,1076,1601,917,1184,166,773,1471,982,574,931,999,599,176,1046,957
64,121,469,1340,1452,1121,688,1249,577,953,381,522,993,864,649,1263,503,1044,662,606,469
65,123,675,1093,1479,1064,441,1000,331,721,517,316,805,679,592,1265,385,1131,808,378,320
66,125,580,1156,1399,1006,525,1078,395,762,418,332,905,681,530,1190,471,1038,709,475,412
67,127,492,1219,1323,957,610,1156,467,809,322,371,1000,696,481,1121,559,949,613,569,503
68,129,388,1302,1233,905,717,1253,564,877,205,442,1117,729,441,1040,670,841,496,685,617
69,131,298,1386,1157,872,820,1349,663,952,96,527,1226,779,435,976,774,746,387,794,723
70,133,1186,803,1881,1381,225,615,376,644,1027,554,322,802,973,1647,345,1601,1315,138,311
71,136,777,973,1493,1042,327,883,212,609,600,234,740,595,587,1269,390,1178,885,292,314
72,139,677,1057,1429,1004,425,977,295,672,501,256,829,617,535,1212,436,1095,789,388,366
73,141,573,1121,1298,896,536,1068,380,706,377,268,966,593,420,1085,566,956,658,520,500
74,144,491,1194,1219,845,630,1154,468,766,283,334,1064,620,370,1013,651,863,560,618,588
75,145,1078,961,1869,1398,319,781,411,753,941,561,383,865,959,1642,179,1551,1233,155,155
76,147,1054,1066,1908,1456,420,881,492,852,938,625,417,948,1004,1686,94,1569,1229,253,119
77,149,736,1098,1575,1157,423,984,351,755,596,381,728,745,687,1361,289,1223,889,326,226
78,151,739,1184,1651,1252,500,1054,452,858,631,490,725,854,778,1443,236,1279,921,376,199
79,154,572,1203,1451,1073,554,1114,441,821,435,397,893,751,596,1247,434,1076,727,483,383
80,157,422,1263,1208,864,692,1221,534,834,220,403,1111,681,396,1010,678,830,505,671,621
81,159,468,1256,1344,990,637,1187,500,850,316,413,1008,740,517,1146,553,958,608,586,502
82,162,617,1267,1573,1205,593,1153,514,912,524,508,849,869,729,1373,354,1181,809,486,323
83,163,423,1290,1310,972,679,1227,538,877,270,439,1056,753,502,1116,598,917,562,633,548
84,166,210,1481,1212,966,892,1433,744,1053,120,622,1264,888,542,1046,788,774,375,847,747
85,167,264,1479,1317,1055,860,1412,725,1064,223,626,1196,924,614,1148,708,878,473,797,673
86,169,279,1480,982,764,969,1472,801,1033,111,641,1404,818,403,817,963,555,218,962,910
87,171,325,1370,1091,803,831,1346,666,929,93,516,1258,740,373,907,820,690,359,818,766
88,172,219,1523,1303,1062,907,1459,771,1105,216,668,1243,958,632,1141,752,855,443,845,719
89,173,163,1577,1284,1070,966,1516,828,1155,217,720,1302,1000,655,1131,809,826,406,905,778
90,175,160,1558,1259,1041,954,1502,812,1134,187,699,1300,974,626,1104,811,804,387,897,777
91,177,92,1606,1121,950,1041,1572,886,1168,145,749,1423,976,582,979,946,656,235,1004,906
92,180,1239,767,1913,1405,240,570,405,638,1077,586,292,814,1007,1677,395,1643,1364,187,365
93,181,1200,843,1921,1425,274,647,419,693,1048,594,285,850,1011,1688,323,1633,1337,168,299
94,182,1159,787,1840,1339,185,610,334,609,995,513,362,761,932,1606,349,1563,1282,105,307
95,184,1139,951,1925,1449,341,758,453,773,1003,611,321,902,1015,1697,217,1612,1295,189,209
96,186,1153,850,1876,1384,246,664,380,674,1000,551,332,818,966,1644,296,1585,1289,122,264
97,188,1100,852,1820,1331,212,680,328,645,944,496,390,774,910,1588,281,1527,1233,66,235
98,190,981,991,1786,1327,317,830,365,740,845,495,480,820,879,1562,148,1459,1136,154,85
99,192,975,1094,1845,1406,426,923,469,849,861,583,496,921,947,1626,38,1497,1152,261,49
